positionName,company,location,JobID,description,score
Senior Associate - Pune - Technology Consulting,PwC,"Pune, Maharashtra",4749,"Line of Service Advisory   Industry/Sector Not Applicable   Specialism Operations   Management Level Senior Associate   Job Description & Summary A career within SAP Consulting services, will provide you with the opportunity to help our clients maximise the value of their SAP investment with offerings that address sales, finance, supply chain, engineering, and human capital. We provide comprehensive consulting, system integration and implementation services across multiple SAP applications, products and technologies. Simply put, we focus on delivering business led, technology enabled change for our clients including industry specific enterprise resource planning and the latest in mobile, analytics and cloud solutions.   To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.   As a Senior Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:     Use feedback and reflection to develop self awareness, personal strengths and address development areas.   Delegate to others to provide stretch opportunities, coaching them to deliver results.   Demonstrate critical thinking and the ability to bring order to unstructured problems.   Use a broad range of tools and techniques to extract insights from current industry or sector trends.   Review your work and that of others for quality, accuracy and relevance.   Know how and when to use tools available for a given situation and can explain the reasons for this choice.   Seek and embrace opportunities which give exposure to different situations, environments and perspectives.   Use straightforward communication, in a structured way, when influencing and connecting with others.   Able to read situations and modify behavior to build quality relationships.   Uphold the firm's code of ethics and business conduct.    Education (if blank, degree and/or field of study not specified) Degrees/Field of Study required:  Degrees/Field of Study preferred:   Certifications (if blank, certifications not specified)   Required Skills SAP FICO Module   Optional Skills   Desired Languages (If blank, desired languages not specified)   Travel Requirements Not Specified   Available for Work Visa Sponsorship? No   Government Clearance Required? No   Job Posting End Date",1.3278195612348735
Insight Research Analyst,forstaffing india,"Gurgaon, Haryana",4285,"Description    DESCRIPTION       About the company:     Location: - Gurgaon     Team Strength: 300+ people.     About the Company: We are a team of analysts, engineers, data scientists, and designers building powerful intelligence tools for business users. Company is a 360-degree market intelligence platform that enables businesses to monitor competitors, customers, suppliers, and critical market variables against event trigger on an ongoing basis with unmatched precision and relevance. The product team at Company is responsible for defining the enhancements and new features around the various aspects of our flagship product. This involves feature additions to our flagship platform, performance/architecture enhancements, tuning our NLP, improvements in our sourcing engine, machine learning algorithms, and much more. We stay on the cutting edge while being sensible about it.            About the position: Designation: InSight Research Analyst     Experience required- 3-5 years     Reporting To: Manager     Vacancy: 1     Cab- No     Travel involved - No Working Days: Day shift job (9 Hours per day with 5 days a week. Should be flexible to work in a start-up environment) Undergraduate: BBA/ B.Tech            ABOUT THE TEAM:     The Insights team at Company helps clients in tracking and develop actionable analysis and insight around their industry trends and outlook, competitors’ activity and strategy, and clients and suppliers on a real-time basis. To achieve this, the team uses a mix of methods, including traditional market research and the proprietary platform of the Company to gather information and a variety of tools to conduct in-depth analyses. The market intelligence team serves clients across industries and geographies.            ABOUT THE ROLE:     Job Description     ➔ Research:        Prepare understanding of the client’s problem statement and device appropriate research approach           Conduct desk and Contify platform driven research on a particular industry/segment/competitors/topic           Structure and analyze intelligence gathered coherently and succinctly to develop actionable insights           Prepare standard/custom reports around industry/ competitor/company/ topical analysis           Work on various team-specific strategic initiatives        ➔ Project Execution/Management:        Engage with senior members of the client and project teams to identify and address project bottlenecks           Conduct a quality check of the work of team members           Contribute actively to project and team discussions           Bring continuous process improvement and solution-oriented approach toward work        ➔ Client Communication:        Conduct written (and verbal communication) with clients to update on project progress and resolve queries           Conduct client walkthrough for reports/analysis prepared        ➔ Other:        Liaison with the Contify platform team to report issues/suggest        enhancement measures        Contribute to the organization in the form of internal initiatives        Requirements         4-6 year’s work experience in Secondary Qualitative research, Competitive Intelligence and analysis, company benchmarking, market share research, market research           Proven analytical and problem-solving skills, scientific about measuring progress, and have worked closely with the leadership teams of a growing organization.",1.3288055512188637
Market Research Analyst – Cybersecurity and Infrastructure,Canalys,"Bengaluru, Karnataka",1393,"Canalys is looking for a Market Research Analyst to support our fast-growing and highly respected worldwide market intelligence services, used by the world’s leading technology companies. The successful applicant will be based in our Bengaluru, India office and will be responsible for data analysis and presentation of market trends and insights.  The recruit will work in an experienced global team, providing support across our cybersecurity, data center infrastructure and networking services, as well as custom research projects. The primary role will involve data analysis and research, as well as working on a series of reports, presentations, databases, and client inquiries.  The role will be based out of our office in Bangalore, India (at least 40% of the time).  Main duties  As Market Research Analyst you will support our cybersecurity and infrastructure services research and will be expected to perform the following duties:    Working with the team to contribute toward global research needs, including databases, reports and projects, as well as keep up to date on industry trends.   Processing quarterly data, forecasting and analysis within Canalys’ Cybersecurity and Infrastructure research services as well as custom research projects.   Taking responsibility for reports on vendor performance, global market trends, macro-economic forces, etc.   Conducting face-to-face and desk research on areas of cybersecurity, networking, servers and storage.   Collecting and consolidating information across a range of supporting databases including financial results, key economic metrics and business demographics.   Engaging with clients, including presenting to clients on a regular basis, as well as responding to client inquiries.   Contributing to social media output highlighting Canalys research.   What makes a good candidate?  We are looking for someone with the following attributes:    Hunger: excited to learn about the technology industry and learn new skills.   Independent: learn by doing, proactively seeking guidance and using initiative to complete tasks.   Tech-focused: interested in technology and can demonstrate practical use.   Analytical: know how to work with data, in terms of collecting, processing and interpreting it.   Reliable: self-disciplined to meet deadlines and can multi-task.   Social: able to forge relationships with people face-to-face and virtually.   What is required of a candidate?  The candidate may be looking for their next role after 1-2 years of relevant experience preferably within a channel, IT networking, IT infrastructure or market research role.    A Bachelor’s Degree, preferably with a specialization in business, economics, statistics, mathematics, engineering, commerce and/or data science.   Excellent Microsoft Office skills, including Excel, PowerPoint and Word are essential.   Skills in data analysis, manipulation and visualization preferred. Experience with Power BI is a bonus.   Show a strong aptitude for technology. Be acquainted with current market trends and have a keen understanding of the future direction of the market.   Basic understanding of the company’s financial statements.   Knowledge of database tools such as Access or SQL will be a bonus.   Strong English language skills, both written and verbal are essential. Fluency in another language would be an advantage.   Ability to work both independently and in small teams.   Demonstrate an understanding of our company values of Accountability, Quality, Passion, Care, Being Flexible and Thinking Globally.   What does Canalys offer?  The company provides a range of benefits to its employees, including and not limited to a comprehensive medical claim & health insurance policy and variable performance bonus which are competitive and in-line with industry standards.  The successful applicant will join a global, fast-growing, and successful company with a relaxed, but hardworking and client-focused culture. We create a platform for innovation and offer an opportunity to become influential in the market. We operate a close-knit working environment, where everyone is treated with respect.  To apply  Send your resume with a covering letter highlighting why you are a good fit for this particular position, quoting reference ‘MRAC23INDIA’. Please address to the HR department and e-mail to jobs@canalys.com .  Canalys Company profile  Canalys is an independent analyst company with offices in four continents. We have over two decades of experience in guiding tier one tech vendor clients on the future of the technology industry and helping them think beyond the business models of the past. We deliver smart market insights to IT, channel and service provider professionals around the world. We stake our reputation on the quality of our data, our innovative use of technology and our high level of customer service.  Canalys offers a range of benefits to its employees, including comprehensive health insurance and performance-related bonuses. We also have a flexible and hybrid working policy, including allowing employees to work for four weeks of the year from anywhere in the world. More recently, Canalys has introduced free employee lunches on Thursdays.  Canalys is a globally integrated company. Promoting diversity of people and thoughts as well as equal opportunities has been critical to our success. Our values are partly about who we are but also about what we want to be as a company. We hire and promote people based on their ability to demonstrate them. Canalys is committed to encouraging equality, diversity and inclusion in our recruitment and workplace practices.",1.3399958053202692
Advisory_Cyber R&R_TPRM_BLR,PwC,"Bengaluru, Karnataka",1488,"Line of Service Advisory   Industry/Sector Not Applicable   Specialism Advisory - Other   Management Level Senior Associate   Job Description & Summary A career in our Risk and Compliance Management practice, within Cybersecurity and Privacy services, will provide you with the opportunity to help our clients implement an effective cybersecurity programme that protects against threats, propels transformation, and drives growth. As companies pivot toward a digital business model, exponentially more data is generated and shared among organisations, partners and customers. You’ll play an integral role in helping our clients ensure they are protected by developing transformation strategies focused on security, efficiently integrate and manage new or existing technology systems to deliver continuous operational improvements and increase their cybersecurity investment, and detect, respond, and remediate threats.     Our team helps organisations transform their governance, risk, and compliance activities into a tool that is able to anticipate and mitigate risk to drive business performance. In joining, you’ll develop risk management solutions, compliance and ethics controls, business continuity planning, internal audit procedures, and a compliance framework.   To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.   As a Senior Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:     Use feedback and reflection to develop self awareness, personal strengths and address development areas.   Delegate to others to provide stretch opportunities, coaching them to deliver results.   Demonstrate critical thinking and the ability to bring order to unstructured problems.   Use a broad range of tools and techniques to extract insights from current industry or sector trends.   Review your work and that of others for quality, accuracy and relevance.   Know how and when to use tools available for a given situation and can explain the reasons for this choice.   Seek and embrace opportunities which give exposure to different situations, environments and perspectives.   Use straightforward communication, in a structured way, when influencing and connecting with others.   Able to read situations and modify behavior to build quality relationships.   Uphold the firm's code of ethics and business conduct.    Roles and responsibilities -  We are seeking a number of Cyber Security Risk Advisory Senior Associates to join our practice, to respond to strong demand-led growth. The core responsibilities of this role include, and for a few can be trained to achieve:     Assessing cybersecurity program maturity and capabilities / performing gap assessments against industry frameworks / control testing using audit methodology;   Assessing compliance with regulatory requirements and deliver report that identifies compliance or gaps;     Assessing Third Party Risk Management (TPRM) capabilities across the TPRM lifecycle, from initial planning and due diligence to ongoing monitoring and termination of vendors;     Executing benchmarks using tools and reporting outcomes against industry standards;   Leveraging analytical and research skills in preparing materials;   Preparing materials (reports, presentations, spreadsheets, etc.) to help enable informed decision making;   Participating in the development, review, ongoing maintenance and development of security policies, standards, processes, procedures and requirements.   Participation in meetings, walkthroughs to document understanding of current processes    Required Skill Set -  Demonstrates thorough knowledge and/or a proven record of success in:    Providing industry-leading practices in cyber security and regulatory compliance, including knowledge of common industry frameworks such as ISO 27001, NIST CSF, and PCI DSS;   Executing cybersecurity audits and assessments of an effective cybersecurity program;   Good understanding of the various cybersecurity concepts such as policy, standards, cyber governance, risk, controls, access management, etc.   Ability to define cybersecurity policies, standards, and procedures;    Education / Qualification -  Would ideally include at least one of the following:    Bachelor's degree in Computer Science, Digital Innovation Management, Business Administration, Cybersecurity, or Information Technology   Master’s degree in Cyber Security, Information Security or Computer Security   CISSP   CISM   CISA   ICS 2   IISP   ISO 27001 Lead Auditor    Education (if blank, degree and/or field of study not specified) Degrees/Field of Study required:  Degrees/Field of Study preferred:   Certifications (if blank, certifications not specified)   Required Skills   Optional Skills   Desired Languages (If blank, desired languages not specified)   Travel Requirements   Available for Work Visa Sponsorship?   Government Clearance Required?   Job Posting End Date",1.34217637869108
Sr Clinical Programmer (SAS Listings),Syneos Health Clinical,Remote,1699,"Description  Senior Clinical Programmer (SAS Listings)  Come discover what our 25,000+ employees already know: work here matters everywhere. We’re a growing and evolving biopharmaceutical industry leader, which means you’ll have endless opportunities to work with experts around the world and build the career you’ve dreamed of. As a part of the Syneos Health team, you’ll help us deliver results for a rewarding reason – we improve patients’ lives around the world. Because to us, a patient isn’t just a number, they’re our family, friends, and neighbors.    Why Syneos Health        #SyneosHealthLife means we’re committed to our Total Self culture – where everyone can authentically be themselves. Our Total Self culture is what unites us globally, and we know every person’s unique contributions make a difference.   We believe our success is a direct result of the people who are driving it – you! We value your dedication to care for our customers and patients, so we want to focus on taking care of you. That’s why we offer a comprehensive benefits program encompassing your total health - physical, mental and financial.   We are continuously building the company we all want to work for and our customers want to work with. Why? Because when we bring together diversity of thoughts, backgrounds, cultures, and perspectives – we’re able to create a place where everyone feels like they belong.       Job responsibilities        Utilizes primary development tools including Medidata, Rave, Oracle OC/RDC, Oracle Inform, and/or SAS, and other supporting tools to design, write, validate, and maintain software to meet specifications in a timely and productive manner following standard development procedures.   Generates and maintains all required documentation, including the development of specifications, programs, and validation efforts in support of annotated Case Report Forms (CRFs), database creation, coding configuration, edit check procedures, import setup and processing, export setup and processing, listings, and custom reports..   Serves on project teams to coordinate and lead development activities for clinical programming projects. Attends meetings, participates in discussions, uses an analytical approach to problem solving, focuses on deliverables, and provides constructive feedback. Keeps those responsible for project management informed of any issues that might impact project target dates, scope, or budget and escalates potential problems effectively and in a timely manner. Balances multiple task assignments and communicates needs to supervisor to obtain needed resources.   Provides technology support to the clinical programming staff, Project Analysts, Data Managers, etc., who design, write, validate, and maintain software to meet specifications in a timely and productive manner following standard development procedures. This includes support of the development of specifications, coding, and validation efforts in support of annotated CRFs, database creation, coding setup, edit-check procedures, import setup and processing, export setup and processing, listings, and custom reports   Provides application administration and technical support as the subject matter expert on core business packages including but not limited to: Oracle Inform, MDSOL Rave, Oracle RDC, -, SAS, and supplemental packages such as migration mentor/review, reporting tools, custom functions.   Ensures high quality deliverables by providing senior review of study level/program level/multi study core deliveries for accuracy. Attends sponsor audits and assists with in-progress audits.   Reviews and provide input on study budgets and monitors scope of work to actual work, alerting management of potential change orders; manages and executes the change order to completion. Provides input and supporting details for change orders.   Monitors applications for workflow alerts, system errors, and performance issues. Provides second tier help desk support, as needed.   Performs system integration activities, application updates, and user acceptance testing.   Provides leadership, training, guidance, and support to other department members based upon expertise in specific skill sets. Collaborates with clients, peers, lead programmers, project teams, and/or requestors to clarify and finalize specifications; uses expanded technical skills to meet evolving project needs.   Assists in project meetings and actively contributes and participates in departmental review meetings.   Attends Quick Start Camps (QSCs) as the lead Clinical Programmer role for assigned studies.   Leads clinical programming activities on three (3) to ten (10) concurrent studies depending upon scope, similarity, program, and resourcing requirements.   Manages project resources, proactively alerting management of delivery and resourcing needs.   Possesses and maintains a broad overall knowledge in the field of clinical programming and clinical data management by reading related literature, self-training, attending training classes, attending professional meetings, etc.      Qualifications    What we’re looking for        Bachelor’s degree preferred, or equivalent combination of related education and experience.   The ability to deal effectively with sponsors and internal customers at all levels.   Excellent communication and interpersonal skills, both written and spoken, with an ability to inform.   Demonstrated experience in managing multiple priorities in a highly dynamic environment   Experience working in a matrix-structured environment is preferred   Proficiency in Microsoft Office Suite (Word, Excel, and PowerPoint), email, and Voicemail   Experience with programming languages, such as PL/SQL, SAS, C#, or VB preferred.   Ability to travel as necessary (up to 25%)     Get to know Syneos Health We are the only full-service biopharmaceutical solutions company in the world. That means we bring together the best clinical and commercial minds to create a better, smarter, faster way to get medicines into the hands of patients who need it most. Learn more about Syneos Health.  Additional Information: Tasks, duties, and responsibilities as listed in this job description are not exhaustive. The Company, at its sole discretion and with no prior notice, may assign other tasks, duties, and job responsibilities. Equivalent experience, skills, and/or education will also be considered so qualifications of incumbents may differ from those listed in the Job Description. The Company, at its sole discretion, will determine what constitutes as equivalent to the qualifications described above. Further, nothing contained herein should be construed to create an employment contract. Occasionally, required skills/experiences for jobs are expressed in brief terms. Any language contained herein is intended to fully comply with all obligations imposed by the legislation of each country in which it operates, including the implementation of the EU Equality Directive, in relation to the recruitment and employment of its employees. The Company is committed to compliance with the Americans with Disabilities Act, including the provision of reasonable accommodations, when appropriate, to assist employees or applicants to perform the essential functions of the job.",1.3464271316820957
Clinical Programmer II - (ePRO/eCOA),Syneos Health Clinical,"Pune, Maharashtra",4674,"Description  Clinical Programmer II (eCOA/ePRO)  Syneos Health is the only fully integrated biopharmaceutical solutions organization purpose-built to accelerate customer success. We lead with a product development mindset, seamlessly connecting our capabilities to add high-value insights to speed therapies to patients and provide practical value to help our customers achieve their objectives.  Our Clinical Development model brings the customer and the patient to the center of everything that we do. We are continuously looking for ways to simplify and streamline our work to not only make Syneos Health easier to work with, but to make us easier to work for.  Whether you join us in a Functional Service Provider partnership or a Full-Service environment, you’ll collaborate with passionate problem solvers, innovating as a team to help our customers achieve their goals. We are agile and driven to accelerate the delivery of therapies, because we are passionate to change lives.  Discover what our 29,000 employees, across 110 countries already know: WORK HERE MATTERS EVERYWHERE  Why Syneos Health    We are passionate about developing our people, through career development and progression; supportive and engaged line management; technical and therapeutic area training; peer recognition and total rewards program.   We are committed to our Total Self culture – where you can authentically be yourself. Our Total Self culture is what unites us globally, and we are dedicated to taking care of our people.   We are continuously building the company we all want to work for and our customers want to work with. Why? Because when we bring together diversity of thoughts, backgrounds, cultures, and perspectives – we’re able to create a place where everyone feels like they belong.      Job responsibilities        Utilizes primary development tools including Oracle RDC, Oracle Inform, Medidata, Rave, SAS, and other supporting tools to design, write, validate, and maintain software to meet specifications in a timely and productive manner following standard development procedures.   Generates and maintains all required documentation, including the development of specifications, coding, and validation efforts in support of annotated Case Report Forms (CRFs), database creation, coding configuration, edit check procedures, import setup and processing, export setup and processing, listings, and custom reports.   Serves on project teams to coordinate and lead development activities for clinical programming projects. Attends meetings, participates in discussions, uses an analytical approach to problem solving, focuses on deliverables, and provides constructive feedback. Keeps those responsible for project management informed of any issues that might impact project target dates, scope, or budget and escalates potential problems effectively and in a timely manner. Balances multiple task assignments and communicates needs to supervisor to obtain needed resources.   Ensures quality deliverables by providing review of study level core deliveries for accuracy. Attends sponsor audits and assists with in-progress audits.   Reviews and provide input on study budgets and monitors scope of work to actual work, alerting management of potential change orders.   Provides leadership, training, guidance, and support to other department members based upon expertise in specific skill sets. Collaborates with clients, peers, lead programmers, project teams and/or requestors to clarify and finalize specifications, and uses expanded technical skills to meet evolving project needs.   Assists in project review meetings and assists with departmental review meetings.   Attends Quick Start Camps (QSCs) as the lead clinical programmer for assigned studies.   Leads clinical programming activities on up to eight (8) concurrent studies depending upon scope, similarity, program, and resourcing requirements.   Manages project resources, proactively alerting management of delivery and resourcing needs.   Possesses and maintains a broad overall knowledge in the field of clinical programming and clinical data management by reading related literature, self-training, attending training classes, attending professional meetings, etc.      Qualifications    What we’re looking for        3 to 5 years of experience in clinical programming , ecoa/epro/patient dairies/patient libraries along with UAT experience is must   The ability to deal effectively with sponsors and internal customers at all levels.   Excellent communication and interpersonal skills, both written and spoken, with an ability to inform.   Demonstrated experience in managing multiple priorities in a highly dynamic environment   Experience working in a matrix-structured environment is preferred   Proficiency in Microsoft Office Suite (Word, Excel, and PowerPoint), email, and Voicemail   Experience with programming languages, such as PL/SQL, SAS, C#, or VB preferred.   Ability to travel as necessary (up to 25%)     Get to know Syneos Health  Over the past 5 years, we have worked with 94% of all Novel FDA Approved Drugs, 95% of EMA Authorized Products and over 200 Studies across 73,000 Sites and 675,000+ Trial patients.  No matter what your role is, you’ll take the initiative and challenge the status quo with us in a highly competitive and ever-changing environment. Learn more about Syneos Health.  Additional Information: Tasks, duties, and responsibilities as listed in this job description are not exhaustive. The Company, at its sole discretion and with no prior notice, may assign other tasks, duties, and job responsibilities. Equivalent experience, skills, and/or education will also be considered so qualifications of incumbents may differ from those listed in the Job Description. The Company, at its sole discretion, will determine what constitutes as equivalent to the qualifications described above. Further, nothing contained herein should be construed to create an employment contract. Occasionally, required skills/experiences for jobs are expressed in brief terms. Any language contained herein is intended to fully comply with all obligations imposed by the legislation of each country in which it operates, including the implementation of the EU Equality Directive, in relation to the recruitment and employment of its employees. The Company is committed to compliance with the Americans with Disabilities Act, including the provision of reasonable accommodations, when appropriate, to assist employees or applicants to perform the essential functions of the job.",1.3493813386041793
Machine Learning Engineer - Computer Vision Trainer,Agmay Technologies Pvt Ltd,"Hyderabad, Telangana",4035,"Machine Learning Engineer - Computer VisionRequirements:3+ years of hands-on, real-world experience with computer vision and/or deep learning,Expertise with Python OpenCVAbility to translate academic literature into high-quality production code with a strong sense of good system design,Experience working with large image datasets,Experience with deploying ML/DL systems in production - know what the problems are and how to solve them,Experience designing large-scale ML systems/pipelines, familiarity with MLOps,Mastery of python and DL frameworks like pytorch and tensorflow,Owning problems end-to-end, with a willingness to pick up whatever knowledge is missing to get the job done .Job Type: Part-timePart-time hours: 15 per weekSalary: ₹10,000.00 - ₹50,000.00 per monthBenefits: Work from homeSchedule: Flexible shiftSupplemental pay types: Yearly bonusCOVID-19 considerations:Work from HomeExperience: Real Wolrd Computer Vision/Deep Learning: 3 years (Preferred)",1.3520888766868462
Machine Learning Engineer - Computer Vision Trainer,Agmay Technologies Pvt Ltd,"Hyderabad, Telangana",2515,"Machine Learning Engineer - Computer VisionRequirements:3+ years of hands-on, real-world experience with computer vision and/or deep learning,Expertise with Python OpenCVAbility to translate academic literature into high-quality production code with a strong sense of good system design,Experience working with large image datasets,Experience with deploying ML/DL systems in production - know what the problems are and how to solve them,Experience designing large-scale ML systems/pipelines, familiarity with MLOps,Mastery of python and DL frameworks like pytorch and tensorflow,Owning problems end-to-end, with a willingness to pick up whatever knowledge is missing to get the job done .Job Type: Part-timePart-time hours: 15 per weekSalary: ₹10,000.00 - ₹50,000.00 per monthBenefits: Work from homeSchedule: Flexible shiftSupplemental pay types: Yearly bonusCOVID-19 considerations:Work from HomeExperience: Real Wolrd Computer Vision/Deep Learning: 3 years (Preferred)",1.3520888766868464
People Analytics Research & Thought Leadership Lead,Accenture,India,2906,"About Accenture:  Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulting,Technology and Operations Services, and Accenture Song - all powered by the world's largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com     About Entity:  Corporate Functions—including Human Resources, Finance, Legal, Marketing Communications, and Workplace Solutions- powers Accenture’s people across industries and functions to keep our business leading in the New. Join the heart and soul of Accenture, partnering with our extraordinary people to bring innovation into every organization.     Job description:    Job Profile: Thought Leadership Research Sr Principal : Offering Development Innovation : Cl6   About our Team  Be part of a best-in-class Global People Analytics Team!  Recently awarded three gold and silver awards in the 2022 Brandon Hall Group HCM Excellence Awards, the Global People Analytics (GPA) team strives to provide Accenture business and HR leaders with strategic and operational analytics and insights to enable data-led decision making. You will progress through the variety of vibrant and challenging career paths within our team, each with a different set of skills and area of focus.    About this Role  The purpose of this role is to serve as the principal thought leader and researcher for Accenture's internal people analytics function. This role will also lead all external engagements with offering and client teams, and our external data partners.    Reports to: Data Science & Advanced Analytics Lead    Responsibilities (not an exhaustive list)     Partner across the Accenture and HR ecosystem (particularly with offering, go-to-market, and client teams) to create and drive a unified people analytics strategy. Work with people analytics leadership to transform the strategy into an executable roadmap/plan.  Conduct research internally and externally around industry and function best practices in relevant areas to bring opportunities for product, offering, service optimization back to the team.  Engage with internal teams to represent people analytics as part of sales and client opportunities.  Establish and maintain relationships externally in industry-recognized people analytics forums and associations/networks. Represent Accenture and drive our position as a world class analytic leader. Pursue awards and rankings in this space. Bring industry research into Accenture to inform and influence our internal capability.  Curate a pipeline of innovative ideas and work with leadership to prioritize and implement the big ideas to optimize the impact to our analytics offerings, capabilities and services.  Understand our ecosystem of people metrics and influence the design and execution of new metrics and advanced methodologies based on industry best practices, benchmarks, research.  Assess and evaluate opportunities to use analytics to address organizational behavior; use research to create points of view and recommendations on how to address these issues with analytics  Serve as the research, measurement and industrial/org psychology subject matter expert, and liaison to Responsible AI, Responsible Assessments, Survey capability teams.  Supervise, lead, and develop the thought leadership & research team.    Education and Experience       Advanced degree or equivalent studies in a relevant field: business, analytics, industrial/org psychology, behavioral science. Terminal degree (e.g. PhD) highly preferred.  Minimum 8-15 years relevant business experience with a focus on business intelligence, analytics, measurement, research, etc.  Exposure to and familiarity with HR systems, processes, data, analytics highly preferred  Experience working hands on with complex data, systems, tools, analytic methodologies    Knowledge, Skills & Abilities     Exceptional verbal and written communication, negotiation and collaboration skills  Ability to work autonomously with little supervision, driving projects and initiatives independently   Ability to create, proofread, and publish highly polished technical and business written communications (e.g. white papers, conference/award submissions, etc.)  Demonstrated working knowledge of relevant analytic/data science skills and platforms, e.g. Artificial Intelligence, Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Speech to Text, Statistical Programming, Python, R, PowerBI, Qlikview    Job Profile: Thought Leadership Research Sr Principal : Offering Development Innovation : Cl6   About our Team  Be part of a best-in-class Global People Analytics Team!  Recently awarded three gold and silver awards in the 2022 Brandon Hall Group HCM Excellence Awards, the Global People Analytics (GPA) team strives to provide Accenture business and HR leaders with strategic and operational analytics and insights to enable data-led decision making. You will progress through the variety of vibrant and challenging career paths within our team, each with a different set of skills and area of focus.    About this Role  The purpose of this role is to serve as the principal thought leader and researcher for Accenture's internal people analytics function. This role will also lead all external engagements with offering and client teams, and our external data partners.    Reports to: Data Science & Advanced Analytics Lead    Responsibilities (not an exhaustive list)     Partner across the Accenture and HR ecosystem (particularly with offering, go-to-market, and client teams) to create and drive a unified people analytics strategy. Work with people analytics leadership to transform the strategy into an executable roadmap/plan.  Conduct research internally and externally around industry and function best practices in relevant areas to bring opportunities for product, offering, service optimization back to the team.  Engage with internal teams to represent people analytics as part of sales and client opportunities.  Establish and maintain relationships externally in industry-recognized people analytics forums and associations/networks. Represent Accenture and drive our position as a world class analytic leader. Pursue awards and rankings in this space. Bring industry research into Accenture to inform and influence our internal capability.  Curate a pipeline of innovative ideas and work with leadership to prioritize and implement the big ideas to optimize the impact to our analytics offerings, capabilities and services.  Understand our ecosystem of people metrics and influence the design and execution of new metrics and advanced methodologies based on industry best practices, benchmarks, research.  Assess and evaluate opportunities to use analytics to address organizational behavior; use research to create points of view and recommendations on how to address these issues with analytics  Serve as the research, measurement and industrial/org psychology subject matter expert, and liaison to Responsible AI, Responsible Assessments, Survey capability teams.  Supervise, lead, and develop the thought leadership & research team.    Education and Experience       Advanced degree or equivalent studies in a relevant field: business, analytics, industrial/org psychology, behavioral science. Terminal degree (e.g. PhD) highly preferred.  Minimum 8-15 years relevant business experience with a focus on business intelligence, analytics, measurement, research, etc.  Exposure to and familiarity with HR systems, processes, data, analytics highly preferred  Experience working hands on with complex data, systems, tools, analytic methodologies    Knowledge, Skills & Abilities     Exceptional verbal and written communication, negotiation and collaboration skills  Ability to work autonomously with little supervision, driving projects and initiatives independently   Ability to create, proofread, and publish highly polished technical and business written communications (e.g. white papers, conference/award submissions, etc.)  Demonstrated working knowledge of relevant analytic/data science skills and platforms, e.g. Artificial Intelligence, Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Speech to Text, Statistical Programming, Python, R, PowerBI, Qlikview     OUR COMMITMENT TO YOU:  You’ll benefit from our network of global communities and collaborative culture that will help you build technical and functional skills and capabilities. And because we serve more than 40 industries globally, you’ll have the opportunity to develop valuable industry-specific expertise.  o The scale of our capabilities and client engagements—and the unique way we innovate, operate and deliver value—will give you the opportunity to deepen your existing skills even as you help create the latest technology trends.  o You’ll have access to leading-edge technology.     CALL TO ACTION:  If you have a desire to help the world’s leading companies and governments, now’s the time to join the world’s largest and most diversified group of technology, business process and consulting professionals. Be part of a dynamic team of collaborative experts, and help us improve the way the world works and lives.",1.3524282439713669
Sales Manager - Auto Loans,HDB Financial Services Limited,"Ara, Bihar",4632,"Key functions will be:    Achievement of business plan targets in terms of volume growth, product mix and market share.  Responsibility for Dealer network management & expansion.  Promotion of business & Institutional sales.  Planning& executive sales promotion plans & activities.  Effective cost management.  Conducting detailed market study to analyze the latest market trends and tracking competitor activities and providing valuable inputs for fine tuning the selling strategies.    KEY RESPONSIBILITIES:    Strong commercial and business acumen     Strong customer focus     Excellent communication and presentation skills.     Strong analytical and problem solving skills.     Knowledge of service and warranty system.",1.3545023076421496
